,Заказ наряд,Дата,Цена,ТС,Гос номер
182,"Заказ-наряд №: 1016 от 29.09.2021, ТС: Renault Logan гос. номер: У217АК797",2021-09-29,2500,Renault Logan,У217АК797
183,"Заказ-наряд №: 1025 от 29.09.2021, ТС: ЗАЗ Chance гос. номер: М662КК45",2021-09-29,4000,ЗАЗ Chance,М662КК45
184,"Заказ-наряд №: 1026 от 01.10.2021, ТС: Kia Ceed гос. номер: М893УС72",2021-10-01,4500,Kia Ceed,М893УС72
185,"Заказ-наряд №: 1029 от 17.10.2021, ТС: Renault Duster гос. номер: Е173ВА186",2021-10-17,2000,Renault Duster,Е173ВА186
186,"Заказ-наряд №: 1035 от 30.09.2021, ТС: Hyundai Elantra гос. номер: К958ЬУ186",2021-09-30,6000,Hyundai Elantra,К958ЬУ186
187,"Заказ-наряд №: 1052 от 01.10.2021, ТС: Renault Duster гос. номер: Т885МЕ72",2021-10-01,1000,Renault Duster,Т885МЕ72
188,"Заказ-наряд №: 1053 от 01.10.2021, ТС: ВАЗ 2114 гос. номер: ",2021-10-01,1000,ВАЗ 2114,
189,"Заказ-наряд №: 1061 от 01.10.2021, ТС: Datsun On-Do гос. номер: М065АУ82",2021-10-01,2500,Datsun On-Do,М065АУ82
190,"Заказ-наряд №: 1066 от 02.10.2021, ТС: Toyota Celica гос. номер: О605ТЕ174",2021-10-02,700,Toyota Celica,О605ТЕ174
191,"Заказ-наряд №: 1067 от 07.11.2021, ТС: ГАЗ 2217 гос. номер: С095ОУ55",2021-11-07,11700,ГАЗ 2217,С095ОУ55
192,"Заказ-наряд №: 1069 от 02.10.2021, ТС: Skoda Octavia гос. номер: Р298ОТ72",2021-10-02,5000,Skoda Octavia,Р298ОТ72
193,"Заказ-наряд №: 1070 от 02.10.2021, ТС: LADA VESTA GFK 110 гос. номер:М569ЕР797",2021-10-02,8500,LADA VESTA GFK 110,569ЕР797
194,"Заказ-наряд №: 1110 от 05.10.2021, ТС: LADA  GRАNТА 219010 гос. номер:Х059ЕА761",2021-10-05,1000,LADA  GRАNТА 219010,059ЕА761
195,"Заказ-наряд №: 1120 от 06.10.2021, ТС: Ford Focus гос. номер: О921ХР72",2021-10-06,1000,Ford Focus,О921ХР72
196,"Заказ-наряд №: 1125 от 06.10.2021, ТС: Opel Corsa гос. номер: О188СО72",2021-10-06,1000,Opel Corsa,О188СО72
197,"Заказ-наряд №: 1134 от 06.10.2021, ТС: Ford Focus гос. номер: К949УУ86",2021-10-06,1000,Ford Focus,К949УУ86
198,"Заказ-наряд №: 1136 от 06.10.2021, ТС: LADA  GRАNТА 219010 гос. номер:Х059ЕА761",2021-10-06,1000,LADA  GRАNТА 219010,059ЕА761
199,"Заказ-наряд №: 1146 от 07.10.2021, ТС: Mazda 5 гос. номер: К804ТО72",2021-10-07,4000,Mazda 5,К804ТО72
200,"Заказ-наряд №: 1150 от 07.10.2021, ТС: Toyota Ipsum гос. номер: С614МУ72",2021-10-07,1500,Toyota Ipsum,С614МУ72
201,"Заказ-наряд №: 1153 от 07.10.2021, ТС: Ford Focus гос. номер: К085УА72",2021-10-07,1500,Ford Focus,К085УА72
202,"Заказ-наряд №: 1155 от 07.10.2021, ТС: ВАЗ 2114 гос. номер: С983ОА72",2021-10-07,2000,ВАЗ 2114,С983ОА72
203,"Заказ-наряд №: 1159 от 07.10.2021, ТС: Renault Sandero гос. номер: С020КМ72",2021-10-07,800,Renault Sandero,С020КМ72
204,"Заказ-наряд №: 1165 от 08.10.2021, ТС: ВАЗ 2107 гос. номер: ",2021-10-08,2000,ВАЗ 2107,
205,"Заказ-наряд №: 1173 от 09.10.2021, ТС: Toyota PRADO 120 гос. номер: У366РТ72",2021-10-09,1000,Toyota PRADO 120,У366РТ72
206,"Заказ-наряд №: 1175 от 09.10.2021, ТС: Renault Logan гос. номер: У519АЕ797",2021-10-09,1400,Renault Logan,У519АЕ797
207,"Заказ-наряд №: 1176 от 09.10.2021, ТС: Audi A4 гос. номер: К484МО72",2021-10-09,1000,Audi A4,К484МО72
208,"Заказ-наряд №: 1177 от 09.10.2021, ТС: Nissan Almera гос. номер: Т787ММ72",2021-10-09,5500,Nissan Almera,Т787ММ72
209,"Заказ-наряд №: 1200 от 12.10.2021, ТС: Toyota Celica гос. номер: О605ТЕ174",2021-10-12,2000,Toyota Celica,О605ТЕ174
210,"Заказ-наряд №: 1203 от 12.10.2021, ТС: Honda Accord гос. номер: В489ХХ86",2021-10-12,2000,Honda Accord,В489ХХ86
211,"Заказ-наряд №: 1218 от 12.10.2021, ТС: Nissan Almera гос. номер: Р406ТН72",2021-10-12,1500,Nissan Almera,Р406ТН72
212,"Заказ-наряд №: 1281 от 13.10.2021, ТС: Kia Cerato гос. номер: С700УТ72",2021-10-13,2500,Kia Cerato,С700УТ72
213,"Заказ-наряд №: 1331 от 15.10.2021, ТС: Kia Ceed гос. номер: М893УС72",2021-10-15,1600,Kia Ceed,М893УС72
214,"Заказ-наряд №: 1341 от 15.10.2021, ТС: Nissan Terrano гос. номер: В654НЕ89",2021-10-15,500,Nissan Terrano,В654НЕ89
215,"Заказ-наряд №: 1345 от 15.10.2021, ТС: Seat Altea гос. номер: Р272МУ72",2021-10-15,1500,Seat Altea,Р272МУ72
216,"Заказ-наряд №: 1357 от 16.10.2021, ТС: Toyota PRADO 150 NEW гос. номер:Т956ОА72",2021-10-16,2000,Toyota PRADO 150 NEW,956ОА72
217,"Заказ-наряд №: 1367 от 16.10.2021, ТС: ВАЗ 21099 гос. номер: А759ОЕ72",2021-10-16,2000,ВАЗ 21099,А759ОЕ72
218,"Заказ-наряд №: 1368 от 16.10.2021, ТС: Opel Corsa гос. номер: Р641ТХ72",2021-10-16,1000,Opel Corsa,Р641ТХ72
219,"Заказ-наряд №: 1375 от 17.10.2021, ТС: Audi A6 гос. номер: Е362МК45",2021-10-17,3000,Audi A6,Е362МК45
220,"Заказ-наряд №: 1388 от 18.10.2021, ТС: Ford Focus гос. номер: ",2021-10-18,4000,Ford Focus,
221,"Заказ-наряд №: 1424 от 19.10.2021, ТС: ВАЗ 2110 гос. номер: К598РО86",2021-10-19,1000,ВАЗ 2110,К598РО86
222,"Заказ-наряд №: 1433 от 19.10.2021, ТС: Honda Accord гос. номер: К110ММ72",2021-10-19,500,Honda Accord,К110ММ72
223,"Заказ-наряд №: 1444 от 20.10.2021, ТС: Nissan Teana гос. номер: А039ОР89",2021-10-20,1000,Nissan Teana,А039ОР89
224,"Заказ-наряд №: 1462 от 20.10.2021, ТС: ВАЗ 2121 4x4 Нива гос. номер: С906СН72",2021-10-20,3500,ВАЗ 2121 4x4 Нива,С906СН72
225,"Заказ-наряд №: 1464 от 20.10.2021, ТС: Hyundai Getz гос. номер: В818СК72",2021-10-20,1000,Hyundai Getz,В818СК72
226,"Заказ-наряд №: 1465 от 20.10.2021, ТС: Hyundai Getz гос. номер: В818СК72",2021-10-20,600,Hyundai Getz,В818СК72
227,"Заказ-наряд №: 1523 от 25.10.2021, ТС: ВАЗ 21102 гос. номер: О726СЕ54",2021-10-25,1000,ВАЗ 21102,О726СЕ54
228,"Заказ-наряд №: 1558 от 23.10.2021, ТС: Toyota Avensis гос. номер: А770ХС72",2021-10-23,1000,Toyota Avensis,А770ХС72
229,"Заказ-наряд №: 1566 от 23.10.2021, ТС: Kia Rio гос. номер: АК01645",2021-10-23,3000,Kia Rio,АК01645
230,"Заказ-наряд №: 1576 от 23.10.2021, ТС: Renault Logan гос. номер: А503ВЕ797",2021-10-23,2000,Renault Logan,А503ВЕ797
231,"Заказ-наряд №: 1644 от 26.10.2021, ТС: Renault Logan гос. номер: А462ВЕ797",2021-10-26,2500,Renault Logan,А462ВЕ797
232,"Заказ-наряд №: 1646 от 03.11.2021, ТС: УАЗ Патриот гос. номер: С745УА72",2021-11-03,2500,УАЗ Патриот,С745УА72
233,"Заказ-наряд №: 1651 от 26.10.2021, ТС: Mazda CX-7 гос. номер: Н707ТС72",2021-10-26,1000,Mazda CX-7,Н707ТС72
234,"Заказ-наряд №: 1657 от 26.10.2021, ТС: Kia Rio гос. номер: Т945ТК72",2021-10-26,2000,Kia Rio,Т945ТК72
235,"Заказ-наряд №: 1662 от 26.10.2021, ТС: Kia Ceed гос. номер: В500ХО72",2021-10-26,1000,Kia Ceed,В500ХО72
236,"Заказ-наряд №: 1665 от 26.10.2021, ТС: Chevrolet Cruze гос. номер: Р505КА72",2021-10-26,1000,Chevrolet Cruze,Р505КА72
237,"Заказ-наряд №: 1692 от 27.10.2021, ТС: Toyota Avensis гос. номер: А770ХС72",2021-10-27,1000,Toyota Avensis,А770ХС72
238,"Заказ-наряд №: 1696 от 27.10.2021, ТС: Mazda 3 гос. номер: К485СМ86",2021-10-27,4500,Mazda 3,К485СМ86
239,"Заказ-наряд №: 1700 от 27.10.2021, ТС: ВАЗ Веста гос. номер: Т544ЕР72",2021-10-27,2200,ВАЗ Веста,Т544ЕР72
240,"Заказ-наряд №: 1704 от 27.10.2021, ТС: Renault Megane гос. номер: Р155СЕ72",2021-10-27,3000,Renault Megane,Р155СЕ72
241,"Заказ-наряд №: 1753 от 29.10.2021, ТС: Renault Logan гос. номер: А569ВВ797",2021-10-29,2500,Renault Logan,А569ВВ797
242,"Заказ-наряд №: 1758 от 30.10.2021, ТС: Volvo XC60 гос. номер: Н451УР72",2021-10-30,4000,Volvo XC60,Н451УР72
243,"Заказ-наряд №: 1770 от 30.10.2021, ТС: Ford Kuga гос. номер: Н333УК72",2021-10-30,2000,Ford Kuga,Н333УК72
244,"Заказ-наряд №: 1775 от 30.10.2021, ТС: Cadillac VSCE гос. номер: О600МУ72",2021-10-30,500,Cadillac VSCE,О600МУ72
245,"Заказ-наряд №: 1794 от 02.11.2021, ТС: Kia Rio гос. номер: С979ЕР72",2021-11-02,400,Kia Rio,С979ЕР72
246,"Заказ-наряд №: 1798 от 31.10.2021, ТС: Kia Ceed гос. номер: В500ХО72",2021-10-31,2500,Kia Ceed,В500ХО72
247,"Заказ-наряд №: 1804 от 31.10.2021, ТС: Kia Rio гос. номер: ОУ087,77",2021-10-31,1500,Kia Rio,"ОУ087,77"
248,"Заказ-наряд №: 1835 от 02.11.2021, ТС: Nissan Note гос. номер: В252УС89",2021-11-02,2500,Nissan Note,В252УС89
249,"Заказ-наряд №: 1839 от 02.11.2021, ТС: Nissan Murano гос. номер: Н900УР72",2021-11-02,1000,Nissan Murano,Н900УР72
250,"Заказ-наряд №: 1849 от 02.11.2021, ТС: Hyundai CRETA гос. номер: Т707МР72",2021-11-02,1000,Hyundai CRETA,Т707МР72
251,"Заказ-наряд №: 1853 от 02.11.2021, ТС: Ford Focus гос. номер: М350АМ186",2021-11-02,3000,Ford Focus,М350АМ186
252,"Заказ-наряд №: 1862 от 03.11.2021, ТС: Nissan Qashqai гос. номер: Н825ХУ86",2021-11-03,2000,Nissan Qashqai,Н825ХУ86
253,"Заказ-наряд №: 1867 от 03.11.2021, ТС: Honda Pilot гос. номер: О730МЕ72",2021-11-03,1000,Honda Pilot,О730МЕ72
254,"Заказ-наряд №: 1872 от 03.11.2021, ТС: Volkswagen Touareg гос. номер: Р888МУ72",2021-11-03,1850,Volkswagen Touareg,Р888МУ72
255,"Заказ-наряд №: 1899 от 05.11.2021, ТС: Toyota  LАND СRUISЕR 150 гос. номер:В453УР72",2021-11-05,1200,Toyota  LАND СRUISЕR 150,453УР72
256,"Заказ-наряд №: 1900 от 05.11.2021, ТС: Hyundai Avante гос. номер: Р219КР72",2021-11-05,1600,Hyundai Avante,Р219КР72
257,"Заказ-наряд №: 1905 от 05.11.2021, ТС: Kia Sportage гос. номер: Т 072 МН 72",2021-11-05,2000,Kia Sportage,Т 072 МН 72
258,"Заказ-наряд №: 1907 от 05.11.2021, ТС: ВАЗ 2114 гос. номер: ",2021-11-05,3500,ВАЗ 2114,
259,"Заказ-наряд №: 1914 от 06.11.2021, ТС: Nissan Note гос. номер: В047ОТ18",2021-11-06,2000,Nissan Note,В047ОТ18
260,"Заказ-наряд №: 1916 от 06.11.2021, ТС: ВАЗ 2114 гос. номер: У 859 СВ 72",2021-11-06,2000,ВАЗ 2114,У 859 СВ 72
261,"Заказ-наряд №: 1918 от 06.11.2021, ТС: Skoda Rapid гос. номер: Т 923 КН 72",2021-11-06,3500,Skoda Rapid,Т 923 КН 72
262,"Заказ-наряд №: 1928 от 07.11.2021, ТС: Kia Ceed гос. номер: Н551ТА72",2021-11-07,1000,Kia Ceed,Н551ТА72
263,"Заказ-наряд №: 1935 от 07.11.2021, ТС: Honda Accord гос. номер: В489ХХ86",2021-11-07,3000,Honda Accord,В489ХХ86
264,"Заказ-наряд №: 1948 от 08.11.2021, ТС: ГАЗ A23R22 гос. номер: М370АМ159",2021-11-08,3000,ГАЗ A23R22,М370АМ159
265,"Заказ-наряд №: 1965 от 09.11.2021, ТС: LADA VESTA гос. номер: О355ЕК797",2021-11-09,200,LADA VESTA,О355ЕК797
266,"Заказ-наряд №: 1966 от 09.11.2021, ТС: LADA VESTA GFK 110 гос. номер:М217ЕР797",2021-11-09,1000,LADA VESTA GFK 110,217ЕР797
267,"Заказ-наряд №: 1990 от 10.11.2021, ТС: Toyota Hilux Pick Up гос. номер: Р900РХ72",2021-11-10,1000,Toyota Hilux Pick Up,Р900РХ72
268,"Заказ-наряд №: 1991 от 10.11.2021, ТС: Toyota Camry гос. номер: Р633МУ71",2021-11-10,2000,Toyota Camry,Р633МУ71
269,"Заказ-наряд №: 2011 от 12.11.2021, ТС: Toyota Land Cruiser гос. номер: К343КК72",2021-11-12,1900,Toyota Land Cruiser,К343КК72
270,"Заказ-наряд №: 2018 от 12.11.2021, ТС: Renault Logan гос. номер: АУ1402 72",2021-11-12,1000,Renault Logan,АУ1402 72
271,"Заказ-наряд №: 2024 от 12.11.2021, ТС: ВАЗ 2114 гос. номер: ",2021-11-12,1000,ВАЗ 2114,
272,"Заказ-наряд №: 2027 от 12.11.2021, ТС: ВАЗ 2104 гос. номер: У 517 НЕ 72",2021-11-12,1000,ВАЗ 2104,У 517 НЕ 72
273,"Заказ-наряд №: 2030 от 13.11.2021, ТС: Mitsubishi Lancer гос. номер: В434КР196",2021-11-13,1000,Mitsubishi Lancer,В434КР196
274,"Заказ-наряд №: 2035 от 13.11.2021, ТС: Toyota Corolla гос. номер: Е015РХ72",2021-11-13,500,Toyota Corolla,Е015РХ72
275,"Заказ-наряд №: 2041 от 14.11.2021, ТС: Mazda 3 гос. номер: К485СМ86",2021-11-14,10000,Mazda 3,К485СМ86
276,"Заказ-наряд №: 2044 от 26.11.2021, ТС: ГАЗ 2217 гос. номер: С095ОУ55",2021-11-26,1000,ГАЗ 2217,С095ОУ55
277,"Заказ-наряд №: 2058 от 16.11.2021, ТС: Skoda Octavia гос. номер: О250ЕА72",2021-11-16,500,Skoda Octavia,О250ЕА72
278,"Заказ-наряд №: 2077 от 17.11.2021, ТС: Nissan Almera гос. номер: Н359ЗЕ72",2021-11-17,1500,Nissan Almera,Н359ЗЕ72
279,"Заказ-наряд №: 2087 от 17.11.2021, ТС: Mercedes-Benz C-Class гос. номер:Т176ММ72",2021-11-17,2000,Mercedes-Benz C-Class,176ММ72
280,"Заказ-наряд №: 2092 от 17.11.2021, ТС: Lexus GS350 гос. номер: С753СХ72",2021-11-17,1000,Lexus GS350,С753СХ72
281,"Заказ-наряд №: 2123 от 22.11.2021, ТС: Hyundai ix35 гос. номер: У661КК72",2021-11-22,3500,Hyundai ix35,У661КК72
282,"Заказ-наряд №: 2137 от 20.11.2021, ТС: Renault Logan гос. номер: О286УА198",2021-11-20,1000,Renault Logan,О286УА198
283,"Заказ-наряд №: 2144 от 20.11.2021, ТС: Mitsubishi ASX гос. номер: Т552ХУ86",2021-11-20,1500,Mitsubishi ASX,Т552ХУ86
284,"Заказ-наряд №: 2149 от 22.11.2021, ТС: Kia Cerato гос. номер: У616ОУ72",2021-11-22,3000,Kia Cerato,У616ОУ72
285,"Заказ-наряд №: 2150 от 21.11.2021, ТС: LADA  GRАNТА 219010 гос. номер: У086НН72",2021-11-21,1000,LADA  GRАNТА 219010,У086НН72
286,"Заказ-наряд №: 2151 от 21.11.2021, ТС: Mitsubishi Lancer гос. номер: А222МТ72",2021-11-21,300,Mitsubishi Lancer,А222МТ72
287,"Заказ-наряд №: 2155 от 21.11.2021, ТС: Nissan NESSA гос. номер: А222АМ45",2021-11-21,3000,Nissan NESSA,А222АМ45
288,"Заказ-наряд №: 2161 от 21.11.2021, ТС: Mitsubishi Lancer гос. номер: О240УА72",2021-11-21,1000,Mitsubishi Lancer,О240УА72
289,"Заказ-наряд №: 2193 от 24.11.2021, ТС: Mercedes-Benz ML-Class гос. номер:А901АА72",2021-11-24,3500,Mercedes-Benz ML-Class,901АА72
290,"Заказ-наряд №: 2230 от 26.11.2021, ТС: Nissan Murano гос. номер: Н900УР72",2021-11-26,1200,Nissan Murano,Н900УР72
291,"Заказ-наряд №: 2231 от 26.11.2021, ТС: Nissan Qashqai гос. номер: Т923КО45",2021-11-26,2000,Nissan Qashqai,Т923КО45
292,"Заказ-наряд №: 2235 от 27.11.2021, ТС: Datsun On-Do гос. номер: В120ЕС147",2021-11-27,400,Datsun On-Do,В120ЕС147
293,"Заказ-наряд №: 2237 от 26.11.2021, ТС: Volkswagen Polo гос. номер: Т620АК774",2021-11-26,2000,Volkswagen Polo,Т620АК774
294,"Заказ-наряд №: 2240 от 27.11.2021, ТС: Volkswagen Polo гос. номер: Е609ХР198",2021-11-27,5500,Volkswagen Polo,Е609ХР198
295,"Заказ-наряд №: 2243 от 27.11.2021, ТС: Volkswagen Polo гос. номер: Е612ХР198",2021-11-27,500,Volkswagen Polo,Е612ХР198
296,"Заказ-наряд №: 2246 от 27.11.2021, ТС: ВАЗ 2109 гос. номер: Е554УА72",2021-11-27,1000,ВАЗ 2109,Е554УА72
297,"Заказ-наряд №: 2248 от 27.11.2021, ТС: Hyundai Tucson гос. номер: У789ТН86",2021-11-27,3500,Hyundai Tucson,У789ТН86
298,"Заказ-наряд №: 2249 от 27.11.2021, ТС: Audi Q3 гос. номер: У538ОС72",2021-11-27,1000,Audi Q3,У538ОС72
299,"Заказ-наряд №: 2250 от 27.11.2021, ТС: Datsun On-Do гос. номер: Т025АК39",2021-11-27,1000,Datsun On-Do,Т025АК39
300,"Заказ-наряд №: 2251 от 28.11.2021, ТС: Mitsubishi Outlander гос. номер: Т028ОХ72",2021-11-28,1000,Mitsubishi Outlander,Т028ОХ72
301,"Заказ-наряд №: 2253 от 28.11.2021, ТС: Datsun On-Do гос. номер: В237ВС147",2021-11-28,1000,Datsun On-Do,В237ВС147
302,"Заказ-наряд №: 2254 от 28.11.2021, ТС: LADA VESTA гос. номер: Т342РХ72",2021-11-28,500,LADA VESTA,Т342РХ72
303,"Заказ-наряд №: 2255 от 28.11.2021, ТС: Toyota Lite Ace гос. номер: К835РВ54",2021-11-28,2500,Toyota Lite Ace,К835РВ54
304,"Заказ-наряд №: 2259 от 30.11.2021, ТС: LADA 217230  PRIORA гос. номер: Т793МХ72",2021-11-30,3000,LADA 217230  PRIORA,Т793МХ72
305,"Заказ-наряд №: 2261 от 28.11.2021, ТС: Datsun On-Do гос. номер: у842оу43",2021-11-28,2500,Datsun On-Do,у842оу43
