Наименование работ,Цена,Дата
Диагностика ЭСУД,1000,2022-03-27
Проверка свечей зажигания,500,2022-03-27
Замена лампы заднего хода левой,200,2022-03-27
Замена передних динамиков аудисистемы,1500,2022-03-27
Компъютерная диагностика,1000,2022-03-27
Проверка динамика левой пердней двкери,1000,2022-03-27
Проверка омывателя лоб. стекла,500,2022-03-27
Проверка питания ЭСУД и UPC,2000,2022-03-27
Проверка электроцепей лампзаднего хода,1500,2022-03-27
Ремонт блока UPC(замена реле на внешнее),2000,2022-03-27
"Простая замена эл ламп освещения,DS-2(1 шт),DS-3(1 шт)",200,2022-03-28
Свечи зажигания- замена,400,2022-03-28
Ремонт(восстановление)электропроводки задних фонарей,4000,2022-03-28
Диагностика ЭСУД,1000,2022-03-29
Компъютерная диагностика,1000,2022-03-29
Ремонт электропроводки,1950,2022-03-29
Замена замка багажника и ремонт проводки,1500,2022-03-30
Замена электропривода открывания двери  задней левой двери,1000,2022-03-30
Замена электропривода открывания передней правой  двери,1000,2022-03-30
Проверка электроцепей вентилятора охлаждения и замена реле,1000,2022-03-30
Электронная диагностика,1000,2022-03-30
Электротехнические работы,2500,2022-03-29
Диагностика ЭСУД,1000,2022-03-29
Диагностика ЭСУД,1000,2022-03-29
Электротехнические работы,2000,2022-03-29
Диагностика ЭСУД,1000,2022-03-29
Замена предохранителя,50,2022-03-30
